(coordinates:[0, 0]), (name:4Diamonds), (number:4), (selected:False), (suit:Diamonds), (texture:4Diamonds.png)
(coordinates:[0, 1]), (name:5Spades), (number:5), (selected:False), (suit:Spades), (texture:5Spades.png)
(coordinates:[0, 2]), (name:10Hearts), (number:10), (selected:False), (suit:Hearts), (texture:10Hearts.png)
(coordinates:[0, 3]), (name:6Diamonds), (number:6), (selected:False), (suit:Diamonds), (texture:6Diamonds.png)
(coordinates:[0, 4]), (name:14Spades), (number:14), (selected:False), (suit:Spades), (texture:14Spades.png)
(coordinates:[1, 0]), (name:13Hearts), (number:13), (selected:False), (suit:Hearts), (texture:13Hearts.png)
(coordinates:[1, 1]), (name:5Clubs), (number:5), (selected:False), (suit:Clubs), (texture:5Clubs.png)
(coordinates:[1, 2]), (name:4Diamonds), (number:4), (selected:False), (suit:Diamonds), (texture:4Diamonds.png)
(coordinates:[1, 3]), (name:9Clubs), (number:9), (selected:False), (suit:Clubs), (texture:9Clubs.png)
(coordinates:[1, 4]), (name:3Hearts), (number:3), (selected:False), (suit:Hearts), (texture:3Hearts.png)
(coordinates:[2, 0]), (name:3Spades), (number:3), (selected:False), (suit:Spades), (texture:3Spades.png)
(coordinates:[2, 1]), (name:4Hearts), (number:4), (selected:False), (suit:Hearts), (texture:4Hearts.png)
(coordinates:[2, 2]), (name:5Spades), (number:5), (selected:False), (suit:Spades), (texture:5Spades.png)
(coordinates:[2, 3]), (name:10Diamonds), (number:10), (selected:False), (suit:Diamonds), (texture:10Diamonds.png)
(coordinates:[2, 4]), (name:7Hearts), (number:7), (selected:False), (suit:Hearts), (texture:7Hearts.png)
(coordinates:[3, 0]), (name:9Clubs), (number:9), (selected:False), (suit:Clubs), (texture:9Clubs.png)
(coordinates:[3, 1]), (name:7Diamonds), (number:7), (selected:False), (suit:Diamonds), (texture:7Diamonds.png)
(coordinates:[3, 2]), (name:12Diamonds), (number:12), (selected:False), (suit:Diamonds), (texture:12Diamonds.png)
(coordinates:[3, 3]), (name:2Diamonds), (number:2), (selected:False), (suit:Diamonds), (texture:2Diamonds.png)
(coordinates:[3, 4]), (name:2Diamonds), (number:2), (selected:False), (suit:Diamonds), (texture:2Diamonds.png)
(coordinates:[4, 0]), (name:8Clubs), (number:8), (selected:False), (suit:Clubs), (texture:8Clubs.png)
(coordinates:[4, 1]), (name:3Spades), (number:3), (selected:False), (suit:Spades), (texture:3Spades.png)
(coordinates:[4, 2]), (name:3Diamonds), (number:3), (selected:False), (suit:Diamonds), (texture:3Diamonds.png)
(coordinates:[4, 3]), (name:11Hearts), (number:11), (selected:False), (suit:Hearts), (texture:11Hearts.png)
(coordinates:[4, 4]), (name:12Diamonds), (number:12), (selected:False), (suit:Diamonds), (texture:12Diamonds.png)
(coordinates:[5, 0]), (name:5Clubs), (number:5), (selected:False), (suit:Clubs), (texture:5Clubs.png)
(coordinates:[5, 1]), (name:13Spades), (number:13), (selected:False), (suit:Spades), (texture:13Spades.png)
(coordinates:[5, 2]), (name:2Diamonds), (number:2), (selected:False), (suit:Diamonds), (texture:2Diamonds.png)
(coordinates:[5, 3]), (name:2Clubs), (number:2), (selected:False), (suit:Clubs), (texture:2Clubs.png)
(coordinates:[5, 4]), (name:2Diamonds), (number:2), (selected:False), (suit:Diamonds), (texture:2Diamonds.png)
(coordinates:[6, 0]), (name:5Hearts), (number:5), (selected:False), (suit:Hearts), (texture:5Hearts.png)
(coordinates:[6, 1]), (name:2Clubs), (number:2), (selected:False), (suit:Clubs), (texture:2Clubs.png)
(coordinates:[6, 2]), (name:7Diamonds), (number:7), (selected:False), (suit:Diamonds), (texture:7Diamonds.png)
(coordinates:[6, 3]), (name:10Spades), (number:10), (selected:False), (suit:Spades), (texture:10Spades.png)
(coordinates:[6, 4]), (name:10Clubs), (number:10), (selected:False), (suit:Clubs), (texture:10Clubs.png)
